ID,CATEGORY,LINK,TITLE,BODY,SOURCE,DATE
3,Politics,https://english.onlinekhabar.com/deputy-speaker-indira-rana-magar-resigns.html,Deputy Speaker Indira Rana Magar resigns,"Deputy Speaker of the House of Representatives (HoR), Indira Ranamagar, has resigned from the post. Irrespective of the practice that the terms of the Speaker and the Deputy Speaker are in effect till a day before the candidacy filing for the direct election, Deputy Speaker Ranamagar voluntarily resigned from the post on Sunday.

The Election Commission has scheduled on December 28 and December 29 for candidates to submit their closed lists under the proportional category for the House of Representatives election scheduled for March 5, 2026.

However, Speaker Devraj Ghimire is learnt to continue till January 19, a day before the filing of candidacy under the direct election.

Spokesperson at the federal parliament, Ekaram Giri, informed that then Speaker Agni Prasad Sapkota had continued incumbency till a day before filing nomination to the direct election in the past. Article 91 (6.a) of the Constitution has the provision that the Speaker and the Deputy Speaker can remain in the post till a day before nomination of candidates for the HoR election in a state of HoR dissolution.",OnlineKhabar,2025-12-29
4,Politics,https://english.onlinekhabar.com/national-assembly-election-report-presented-to-president-paudel.html,National Assembly election report presented to President Paudel,"The report on the National Assembly election held on January 25 has been submitted to President Ramchandra Paudel. Officiating Chief Election Commissioner Ram Prasad Bhandari presented the report to the President at a ceremony held at the Rastrapati Bhawan, Shital Niwas, today.

High officials, including the Commission’s two commissioners, Sagun Shamsher JBR and Dr Janaki Kumari Tuladhar, and Secretary Krishna Bahadur Rau,t were present on the occasion.",OnlineKhabar,2026-01-28
