ID,CATEGORY,LINK,TITLE,BODY,SOURCE,DATE
1,POLITICS,https://myrepublica.nagariknetwork.com/news/prez-deuba-and-acting-prez-khadka-assigned-to-hold-talks-with-gagan-and-bis-40-26.html,Prez Deuba and Acting Prez Khadka assigned to hold talks with Gagan and Bishwakarma: Deuba and Khadka to meet NC General Secretaries Thapa and Sharma to safeguard party unity.,"A meeting of the top leaders of the establishment faction of Nepali Congress (NC) has entrusted President Sher Bahadur Deuba and Acting President Purna Bahadur Khadka with the responsibility to directly hold talks with the party’s two General Secretaries Gagan Thapa and Biswo Prakash Sharma.

The talks aim to maintain unity within the party and avoid any divisions, participants of the meeting said. “No one wants the party to split. The President has initiated these discussions to ensure both the party and its vote base remain united,” said a senior leader, who attended the meeting.

Discussions with the General Secretaries are expected to take place soon.",Republica,2024-08-08
2,POLITICS,https://myrepublica.nagariknetwork.com/news/29-polling-stations-in-palpa-highly-sensitive-56-72.html,"29 polling stations in Palpa 'highly sensitive': According to Chief District Officer Binu Kunwar, 20 polling stations in Constituency No. 1 and nine in Constituency No. 2 are sensitive.","The District Security Committee has categorized 29 polling stations in Palpa as highly sensitive.

According to Chief District Officer Binu Kunwar, 20 polling stations in Constituency No. 1 and nine in Constituency No. 2 are sensitive.

A total of 118 polling centres and 251 polling stations have been determined for the district, which has two House of Representatives constituencies

Out of 207,436 total voters in Palpa, 98,383 are in Constituency No. 1, and 109,053 are in Constituency No. 2. The number of new voters to be registered for the March 5 election is 6,110 in the district.",Republica,2024-08-08
